BOTTLE,20240829CCHHYDRO
33RR20220613  ,P02E       ,148     ,  1,3          ,3          ,2,20220626,1538,  30.0005,-143.8905,     5235,   4783.7,2,   1.5208,2,  34.6876,2,  34.6867,2,    153.3,2,    153.5,2,   151.87,2,    35.38,2,     0.00,2,     2.47,2,    0.006,2,    0.006,2,   0.0000,2,   2324.7,2,   2422.8,2,   7.5810,2,    25.01,2,     -999,9,   1.5207,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.7026,1,     21.9,2,20220626,1550,  30.0005,-143.8905,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,148     ,  1,2          ,2          ,2,20220626,1538,  30.0005,-143.8905,     5235,   5067.7,2,   1.5509,2,  34.6883,2,  34.6873,2,    154.6,2,    154.7,2,   150.79,2,    35.31,2,     0.00,2,     2.46,2,    0.007,2,    0.007,2,   0.0000,2,   2324.1,2,   2421.2,2,   7.5813,2,    25.00,2,     -999,9,   1.5508,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.7029,1,     22.1,2,20220626,1544,  30.0004,-143.8905,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,148     ,  1,1          ,1          ,2,20220626,1538,  30.0005,-143.8905,     5235,   5328.8,2,   1.5814,2,  34.6883,2,  34.6873,2,    155.4,2,    155.3,2,   150.01,2,    35.24,2,     0.00,2,     2.46,2,    0.009,2,    0.009,2,   0.0000,2,   2324.7,6,   2419.6,2,   7.5836,2,    25.01,2,     -999,9,   1.5814,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.7014,1,     22.8,2,20220626,1538,  30.0005,-143.8905,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  1,15         ,15         ,2,20220626,2057,  30.0004,-143.3135,     5046,      4.2,2,  22.6745,2,  34.9161,2,     -999,9,    220.8,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,     -999,9,   0.0124,1,   4.6366,1,     -999,9,20220626,2124,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  1,19         ,39         ,2,20220626,2057,  30.0004,-143.3135,     5046,      4.4,2,  22.6519,2,  34.9150,2,     -999,9,    220.8,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.6357,1,     -999,9,20220626,2124,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  1,20         ,20         ,2,20220626,2057,  30.0004,-143.3135,     5046,      4.5,2,  22.6209,2,  34.9148,2,     -999,9,    220.8,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,1,     -999,9,   0.0122,1,   4.6379,1,     -999,9,20220626,2124,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  1,16         ,16         ,2,20220626,2057,  30.0004,-143.3135,     5046,      4.5,2,  22.6422,2,  34.9152,2,     -999,9,    221.0,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,     -999,9,   0.0126,1,   4.6375,1,     -999,9,20220626,2124,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  1,14         ,14         ,2,20220626,2057,  30.0004,-143.3135,     5046,      4.5,2,  22.6935,2,  34.9174,2,     -999,9,    220.4,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,     -999,9,   0.0122,1,   4.6372,1,     -999,9,20220626,2124,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  1,11         ,11         ,2,20220626,2057,  30.0004,-143.3135,     5046,      4.5,2,  22.5914,2,  34.9129,2,     -999,9,    221.0,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,1,     -999,1,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.6374,1,     -999,9,20220626,2124,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  1,9          ,9          ,2,20220626,2057,  30.0004,-143.3135,     5046,      4.7,2,  22.5340,2,  34.9138,2,     -999,9,    221.3,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  22.6301,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.6339,1,     -999,9,20220626,2124,  30.0004,-143.3135,-999          ,1,-999          ,9,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  1,10         ,10         ,2,20220626,2057,  30.0004,-143.3135,     5046,      4.7,2,  22.5585,2,  34.9166,2,     -999,9,    221.2,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.6373,1,     -999,9,20220626,2124,  30.0004,-143.3135,-999          ,9,-999          ,1,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  1,13         ,13         ,2,20220626,2057,  30.0004,-143.3135,     5046,      4.7,2,  22.6980,2,  34.9167,2,     -999,9,    220.2,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,1,     -999,1,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.6372,1,     -999,9,20220626,2124,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  1,12         ,12         ,2,20220626,2057,  30.0004,-143.3135,     5046,      4.7,2,  22.6775,2,  34.9178,2,     -999,9,    220.7,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,1,     -999,1,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.6373,1,     -999,9,20220626,2124,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  1,18         ,18         ,2,20220626,2057,  30.0004,-143.3135,     5046,      4.8,2,  22.6379,2,  34.9153,2,     -999,9,    221.1,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,1,     -999,9,   0.0122,1,   4.6372,1,     -999,9,20220626,2124,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  1,17         ,37         ,2,20220626,2057,  30.0004,-143.3135,     5046,      4.9,2,  22.5614,2,  34.9158,2,     -999,9,    221.6,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  22.6146,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,1,     -999,9,   0.0122,1,   4.6362,1,     -999,9,20220626,2124,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  1,21         ,21         ,2,20220626,2057,  30.0004,-143.3135,     5046,      5.0,2,  22.6217,2,  34.9153,2,     -999,9,    220.7,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0123,1,   4.6372,1,     -999,9,20220626,2124,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,1
33RR20220613  ,P02E       ,149     ,  1,8          ,8          ,2,20220626,2057,  30.0004,-143.3135,     5046,     40.6,2,  21.3560,2,  34.9295,2,     -999,9,    233.4,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  21.3632,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6389,1,     -999,9,20220626,2122,  30.0004,-143.3135,-999          ,1,-999          ,9,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  1,7          ,7          ,2,20220626,2057,  30.0004,-143.3135,     5046,     76.0,2,  20.0214,2,  34.8610,2,     -999,9,    234.7,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  20.0222,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0147,1,   4.6446,1,     -999,9,20220626,2120,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  1,5          ,5          ,2,20220626,2057,  30.0004,-143.3135,     5046,    100.0,2,  19.4674,2,  34.7881,2,     -999,9,    233.5,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  19.4656,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0183,1,   4.6495,1,     -999,9,20220626,2116,  30.0004,-143.3135,-999          ,1,-999          ,9,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  1,6          ,6          ,2,20220626,2057,  30.0004,-143.3135,     5046,    100.6,2,  19.4576,2,  34.7881,2,     -999,9,    233.4,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0183,1,   4.6503,1,     -999,9,20220626,2116,  30.0004,-143.3135,-999          ,9,-999          ,1,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  1,4          ,4          ,2,20220626,2057,  30.0004,-143.3135,     5046,    151.1,2,  18.8372,2,  34.7582,2,     -999,9,    228.0,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  18.8344,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0275,1,   4.6628,1,     -999,9,20220626,2115,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  1,3          ,3          ,2,20220626,2057,  30.0004,-143.3135,     5046,    200.9,2,  16.0385,2,  34.3199,2,     -999,9,    221.4,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  16.0570,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0195,1,   4.6800,1,     -999,9,20220626,2113,  30.0004,-143.3135,-999          ,9,-999          ,1,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  1,2          ,2          ,2,20220626,2057,  30.0004,-143.3135,     5046,    507.6,2,   7.2984,2,  33.9979,2,     -999,9,    140.8,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   7.2883,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0124,1,   4.6945,1,     -999,9,20220626,2107,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  1,1          ,1          ,2,20220626,2057,  30.0004,-143.3135,     5046,   1012.5,2,   3.6079,2,  34.3851,2,     -999,9,     12.3,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   3.6124,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6955,1,     -999,9,20220626,2057,  30.0004,-143.3135,-999          ,9,-999          ,1,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,36         ,36         ,2,20220626,2346,  30.0004,-143.3135,     5046,      2.5,2,  22.6150,2,  34.9167,2,  34.9172,2,    222.0,2,    221.8,2,     0.68,2,     0.09,2,     0.00,2,     0.03,2,    1.810,2,    1.132,2,   1.8729,2,   2043.7,6,   2304.0,2,   7.9758,2,    24.99,2,     -999,9,  22.6086,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0128,1,   4.6342,1,      7.2,2,20220627,0202,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,35         ,35         ,2,20220626,2346,  30.0004,-143.3135,     5046,     25.1,2,  22.4036,2,  34.9145,2,  34.9146,2,    222.1,2,    222.4,2,     0.68,2,     0.09,2,     0.00,2,     0.04,2,    1.802,2,    1.117,2,   1.8878,2,   2042.4,2,   2303.5,2,   7.9766,2,    25.00,2,     -999,9,  22.4004,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6326,1,      7.2,2,20220627,0201,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,34         ,34         ,2,20220626,2346,  30.0004,-143.3135,     5046,     51.3,2,  21.0305,2,  35.0171,2,  35.0163,2,    233.7,2,    233.8,2,     0.59,2,     0.08,2,     0.00,2,     0.02,2,    1.946,2,    1.202,2,   1.9904,2,   2038.0,2,   2306.8,2,   7.9889,2,    25.00,2,     -999,9,  21.0239,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0144,1,   4.6332,1,      7.6,2,20220627,0159,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,33         ,33         ,2,20220626,2346,  30.0004,-143.3135,     5046,     76.4,2,  20.5946,2,  35.0012,2,  34.9888,2,    234.9,2,    234.0,2,     0.59,2,     0.08,2,     0.00,2,     0.02,2,    1.936,2,    1.166,2,   1.8624,2,   2035.5,2,   2304.8,2,   7.9866,2,    25.00,2,     -999,9,  20.6077,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0147,1,   4.6393,1,      7.5,2,20220627,0157,  30.0004,-143.3134,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,32         ,32         ,2,20220626,2346,  30.0004,-143.3135,     5046,    100.7,2,  19.7550,2,  34.8474,2,  34.8373,2,    234.4,2,    234.6,2,     0.68,2,     0.08,2,     0.00,2,     0.04,2,    2.026,2,    1.234,2,   1.9292,2,   2036.0,2,   2297.1,2,   7.9750,2,    25.00,2,     -999,9,  19.7512,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0177,1,   4.6445,1,      7.8,2,20220627,0154,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,31         ,31         ,2,20220626,2346,  30.0004,-143.3135,     5046,    150.9,2,  18.8167,2,  34.7556,2,  34.7522,2,    228.5,2,    227.8,2,     1.17,2,     0.09,2,     0.00,2,     0.07,2,    2.101,2,    1.279,2,   2.0681,2,   2042.3,2,   2288.4,2,   7.9541,2,    25.00,2,     -999,9,  18.8327,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0282,1,   4.6587,1,      8.2,2,20220627,0153,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,30         ,17         ,2,20220626,2346,  30.0004,-143.3135,     5046,    201.4,2,  15.2337,2,  34.2134,2,  34.2097,2,    220.8,2,    221.5,2,     3.03,2,     2.61,2,     0.00,2,     0.31,2,    2.439,2,    1.459,2,   2.1612,2,   2056.8,2,   2254.1,2,   7.8706,2,    24.99,2,     -999,9,  15.2116,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0159,1,   4.6802,1,     10.0,2,20220627,0151,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,29         ,29         ,2,20220626,2346,  30.0004,-143.3135,     5046,    252.4,2,  11.9503,2,  34.0504,2,  34.0486,2,    214.7,2,    214.6,2,     8.41,2,     9.78,2,     0.00,2,     0.77,2,    2.847,2,    1.706,2,   2.2504,2,   2088.3,2,   2247.1,6,   7.7842,2,    25.01,2,     -999,9,  11.9624,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.6874,1,     13.7,2,20220627,0148,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,28         ,28         ,2,20220626,2346,  30.0004,-143.3135,     5046,    302.6,2,  10.8246,2,  34.0924,2,  34.0919,2,    209.0,2,    209.1,2,    13.79,2,    14.41,2,     0.00,2,     1.02,2,    2.959,2,    1.769,2,   2.0588,2,   2109.7,2,   2252.8,2,   7.7416,2,    25.00,2,     -999,9,  10.8237,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.6907,1,     17.3,2,20220627,0146,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,27         ,27         ,2,20220626,2346,  30.0004,-143.3135,     5046,    352.7,2,   9.7285,2,  34.0568,2,  34.0584,2,    205.8,2,    205.9,2,    17.80,2,    16.32,2,     0.00,2,     1.16,2,    3.031,2,    1.801,2,   1.8695,2,   2124.4,2,   2255.2,2,   7.7090,2,    25.00,2,     -999,9,   9.7264,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.6919,1,     21.6,2,20220627,0144,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,26         ,26         ,2,20220626,2346,  30.0004,-143.3135,     5046,    403.4,2,   8.9211,2,  34.0381,2,  34.0382,2,    185.6,2,    185.8,2,    24.84,2,    20.21,2,     0.00,2,     1.42,2,    3.024,2,    1.763,2,   1.6510,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   8.9210,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0127,1,   4.6933,1,     23.3,2,20220627,0141,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,25         ,25         ,2,20220626,2346,  30.0004,-143.3135,     5046,    504.6,2,   6.8149,2,  33.9913,2,  33.9927,2,    124.4,2,    124.6,2,    48.50,2,    30.14,2,     0.00,2,     2.14,2,    2.571,6,    1.459,6,   0.8806,6,   2217.0,2,   2277.8,2,   7.4987,2,    25.01,2,     -999,9,   6.8309,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6936,1,     31.5,6,20220627,0138,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,24         ,24         ,2,20220626,2346,  30.0004,-143.3135,     5046,    605.2,2,   5.4046,2,  34.0296,2,  34.0309,2,     69.1,2,     69.1,2,    73.34,2,    37.24,2,     0.00,2,     2.67,2,    1.664,2,    0.913,2,   0.3891,2,   2280.1,2,   2295.5,2,   7.3715,2,    25.00,2,     -999,9,   5.4100,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6945,1,     39.4,2,20220627,0135,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,23         ,23         ,2,20220626,2346,  30.0004,-143.3135,     5046,    706.4,2,   4.6665,2,  34.1193,2,  34.1232,2,     36.6,2,     36.8,2,    91.82,2,    41.28,2,     0.00,2,     2.93,2,    0.846,2,    0.443,2,   0.2022,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   4.6750,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6948,1,     47.5,2,20220627,0132,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,22         ,22         ,2,20220626,2346,  30.0004,-143.3135,     5046,    807.9,2,   4.1540,2,  34.2260,2,  34.2313,2,     16.5,3,     16.3,2,   104.03,2,    43.49,2,     0.00,2,     3.11,2,    0.250,2,    0.134,2,   0.0000,2,   2347.9,2,   2338.1,2,   7.2914,2,    25.01,2,     -999,9,   4.1502,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6948,1,     52.6,2,20220627,0129,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,21         ,21         ,2,20220626,2346,  30.0004,-143.3135,     5046,    908.2,2,   3.8467,2,  34.3117,2,  34.3133,2,     11.1,3,     10.7,2,   117.71,2,    44.03,2,     0.00,2,     3.18,2,    0.067,2,    0.039,2,   0.0000,2,   2362.2,2,   2353.2,2,   7.2931,2,    25.01,2,     -999,9,   3.8481,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6948,1,     55.0,2,20220627,0125,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,20         ,20         ,2,20220626,2346,  30.0004,-143.3135,     5046,   1009.5,2,   3.6290,2,  34.3943,2,  34.3947,2,     14.4,2,     14.5,2,   124.84,2,    44.10,2,     0.00,2,     3.17,2,    0.016,2,    0.016,2,   0.0000,2,   2367.8,2,   2364.6,2,   7.3114,2,    25.00,2,     -999,9,   3.6282,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6949,1,     54.5,2,20220627,0123,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,19         ,39         ,2,20220626,2346,  30.0004,-143.3135,     5046,   1109.6,2,   3.4310,2,  34.4517,2,  34.4522,2,     23.1,3,     23.4,2,   129.73,2,    43.57,2,     0.00,2,     3.16,2,    0.011,2,    0.009,2,   0.0000,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   3.4314,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6958,1,     50.3,2,20220627,0120,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,18         ,18         ,2,20220626,2346,  30.0004,-143.3135,     5046,   1211.9,2,   3.2627,2,  34.4866,2,  34.4877,2,     32.4,2,     32.6,2,   130.99,2,    43.07,2,     0.00,2,     3.11,2,    0.007,2,    0.005,2,   0.0000,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   3.2624,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6961,1,     46.1,2,20220627,0116,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,17         ,37         ,2,20220626,2346,  30.0004,-143.3135,     5046,   1312.8,2,   3.0557,2,  34.5126,2,  34.5127,2,     40.0,2,     39.9,2,   136.95,2,    42.84,2,     0.00,2,     3.09,2,    0.005,2,    0.000,2,   0.0000,2,   2369.5,2,   2387.4,2,   7.3719,2,    25.00,2,     -999,9,   3.0550,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6969,1,     43.5,2,20220627,0113,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,16         ,16         ,2,20220626,2346,  30.0004,-143.3135,     5046,   1414.9,2,   2.8909,2,  34.5357,2,  34.5358,2,     47.9,2,     47.9,2,   142.03,2,    42.44,2,     0.00,2,     3.05,2,    0.004,2,    0.002,2,   0.0000,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   2.8903,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6971,1,     40.3,2,20220627,0109,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
